prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.02998536	-100	-0.07687049	-100	-0.13132986	-100	-100	-100	-100	-0.7412895	-0.19669768	-100	-100	-0.05570832	-0.023247842	-100	-0.10930021	-100	-0.025377255	-100	-100	-0.16342461	-0.021474317	-100	-100	-0.4430276	-100	-0.029357675	-0.6733377	-100	-0.04507057	-100	-100	-0.08811447
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.24618137	-100	-0.17143083	-100	-100	-100	-0.026523482	-100	-0.039109446	-100	-0.119110905	-100	-0.028054323	-100	-0.0340222	-100	-0.10597132	-100	-0.12815784	-100	-0.23556928	-100	-0.029766	-100	-0.28481343	-100	-100	-0.2615051	-0.023689741	-100	-0.5291361	-100	-0.05413635	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.0751499	-100	-0.14986826	-100	-0.06851349	-100	-0.051265363	-100	-0.11462302	-100	-0.336844	-100	-0.21621008	-100	-0.29889262	-100	-0.27559036	-100	-0.078898504	-100	-0.029413596	-100	-0.07776798	-100	-0.24055956	-100	-0.07571063	-100	-0.102775216	-100	-0.14292787	-100	-0.19756979	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.065237455	-100	-0.25623724	-100	-0.2521931	-100	-0.23253807	-100	-0.21588206	-100	-0.11681678	-100	-0.2508589	-100	-0.083914764	-100	-0.074027605	-100	-0.10940673	-100	-0.16978203	-100	-0.10552345	-100	-0.035159934	-100	-100	-100	-0.054051407	-100	-0.20182294	-100	-0.1801698	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.018222822	-100	-0.13100883	-100	-0.09200878	-100	-100	-0.094022706	-0.029143851	-100	-0.035255633	-100	-0.013533957	-100	-0.35768718	-100	-0.07757221	-100	-0.055040855	-100	-0.06775322	-100	-0.2830194	-100	-100	-100	-0.12277968	-100	-0.027785497	-100	-100	-100	-0.21657845	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.1426605	-100	-0.17657891	-100	-0.18113779	-100	-0.18367375	-100	-0.15021363	-100	-0.1030143	-100	-0.0194583	-100	-0.060668766	-100	-0.13126788	-100	-0.06518522	-100	-0.26313272	-100	-0.1255261	-100	-0.31729457	-100	-0.11940833	-100	-0.0734609	-100	-0.22594857	-100	-0.082241744	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-100	-0.13018808	-0.5855954	-100	-100	-0.472343	-0.44768298	-100	-0.30520827	-100	-0.18013977	-100	-0.16633108	-100	-0.17558034	-100	-0.03516333	-100	-0.109842636	-100	-0.19836749	-100	-0.36824486	-100	-0.24198598	-100	-0.06728917	-100	-0.22110184	-100	-0.1635895	-100	-0.69278437	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.25128773	-100	-0.08601203	-100	-0.071577676	-100	-0.17176843	-100	-100	-0.79386157	-0.06651538	-100	-0.03904567	-100	-0.14624001	-100	-0.18623236	-100	-0.061116703	-100	-0.38668966	-100	-0.043743465	-100	-100	-0.30757797	-0.053735815	-100	-0.041253265	-100	-0.064553104	-100	-0.20379062	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.81201184	-100	-0.064250655	-100	-0.1831166	-100	-0.10475631	-100	-0.31941423	-100	-0.15866508	-100	-0.16966105	-100	-0.2327798	-100	-0.6412801	-100	-0.35942298	-100	-0.06278755	-100	-0.028261233	-100	-0.026855642	-100	-0.08887669	-100	-0.24245961	-100	-0.34523207	-100	-0.069346264	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-100	-0.5284073	-100	-0.3288125	-0.051032934	-100	-100	-0.054621138	-0.2747025	-100	-100	-100	-100	-0.040425982	-0.5367535	-100	-0.0746737	-100	-0.17657427	-100	-100	-0.21973068	-100	-0.054504182	-100	-0.1572445	-100	-100	-0.041928876	-100	-0.4802603	-100	-100	-0.09612975
