run	"Topic - concise(1,NaN)"	"Topic - broken down (1,NaN)"	"1 Goal (1,NaN)"	"2 Goals (1,NaN)"	">2 Goals (1,NaN)"	"AI role play (1,NaN)"	"Role form/context(1,NaN)"	"Meta Process-related (1,NaN)"	"Simple sentence structure (1,NaN)"	"Complex sentence structure (1,NaN)"	"ActAsPersona- Persona Pattern (1,Nan)"	"ProvideOutPuts- Persona Pattern (1,Nan)"	"PatternOrder- Persona Pattern (1,Nan)"	"StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)"	Feature 1: AskMeQuestions-FlippedPattern	Feature 2: ConditionStop-FlippedPattern	Feature 3: Form-FlippedPattern:				
output\evaluation_prob_gpt-3.5-turbo-instruct_gpt-3.5-turbo_shots_2promptgen_0_features_file_features_new_annotation_file_new_majority_annotations_20230930-091831nobias.tsv	0.8	0.4	0.3	0.2	0.65	0.65	0.55	0.4	0.7	0.35	0.65	0.85	0.55	0.5	0.9	0.25	0.65			0.725	0.725
output\evaluation_prob_gpt-3.5-turbo-instruct_gpt-3.5-turbo_shots_2promptgen_0_features_file_features_new_annotation_file_new_majority_annotations_20230930-092427nobias.tsv	0.75	0.45	0.2	0.35	0.65	0.6	0.5	0.35	0.7	0.35	0.65	0.9	0.6	0.45	0.85	0.3	0.6			0.675	0.675
output\evaluation_prob_gpt-3.5-turbo-instruct_gpt-3.5-turbo_shots_2promptgen_0_features_file_features_new_annotation_file_new_majority_annotations_20230930-095511nobias.tsv	0.7	0.35	0.2	0.2	0.65	0.7	0.45	0.5	0.7	0.4	0.6	0.9	0.55	0.55	0.8	0.25	0.7			0.7	0.7
prob	0.75	0.4	0.233333333	0.25	0.65	0.65	0.5	0.416666667	0.7	0.366666667	0.633333333	0.883333333	0.566666667	0.5	0.85	0.266666667	0.65				
det	0.65	0.4	0.466666667	0.55	0.6	0.583333333	0.55	0.566666667	0.6	0.416666667	0.65	0.75	0.616666667	0.516666667	0.716666667	0.483333333	0.55				
detme	0.65	0.4	0.5	0.55	0.6	0.6	0.6	0.55	0.55	0.4	0.65	0.7	0.6	0.5	0.65	0.5	0.55				
probme	0.75	0.4	0.2	0.2	0.65	0.65	0.5	0.4	0.7	0.35	0.65	0.9	0.55	0.5	0.85	0.25	0.65				
																					
max	0.75	0.4	0.466666667	0.55	0.65	0.65	0.55	0.566666667	0.7	0.416666667	0.65	0.883333333	0.616666667	0.516666667	0.85	0.483333333	0.65				
																					
maxmed	0.75	0.4	0.5	0.55	0.65	0.65	0.6	0.55	0.7	0.4	0.65	0.9	0.6	0.5	0.85	0.5	0.65				
