prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.12129772	-100	-0.17945863	-100	-0.2311723	-100	-0.26579902	-100	-0.3888661	-100	-0.22662526	-100	-0.13593674	-100	-0.2840947	-100	-0.11112732	-100	-0.1767841	-100	-0.14558461	-100	-0.18140574	-100	-0.15514272	-100	-0.18251549	-100	-0.11304861	-100	-0.47540158	-100	-0.23290507	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.12640277	-100	-0.36781612	-100	-0.25983492	-100	-0.21080545	-100	-0.35444492	-100	-0.11435795	-100	-0.10591161	-100	-0.33109853	-100	-0.13754939	-100	-0.21952724	-100	-0.18174838	-100	-0.19977026	-100	-0.22733586	-100	-0.27043223	-100	-0.13014281	-100	-0.22943658	-100	-0.23957136	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.13352385	-100	-0.4170553	-100	-0.20301083	-100	-0.18306342	-100	-0.25091407	-100	-0.13005902	-100	-0.14825416	-100	-0.21723284	-100	-0.14370942	-100	-0.14365253	-100	-0.10034628	-100	-0.33440205	-100	-0.28756362	-100	-0.22611296	-100	-0.22080292	-100	-0.12694338	-100	-0.11042509	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.10369356	-100	-0.48723355	-100	-0.18003428	-100	-0.25747386	-100	-0.19321948	-100	-0.094507314	-100	-0.11291174	-100	-0.26919913	-100	-0.1195473	-100	-0.14263692	-100	-0.13069753	-100	-0.14971878	-100	-0.21010295	-100	-0.22776504	-100	-0.14113232	-100	-0.44565216	-100	-0.21192364	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.12743407	-100	-0.14934583	-100	-0.21968211	-100	-0.20838611	-100	-0.17173524	-100	-0.12012154	-100	-0.15327871	-100	-0.14679691	-100	-0.16223559	-100	-0.08631803	-100	-0.14490746	-100	-0.12676407	-100	-0.14377218	-100	-0.12415849	-100	-0.18820763	-100	-0.18214591	-100	-0.16049585	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.14838433	-100	-0.24529722	-100	-0.46303046	-100	-0.23471607	-100	-0.53318584	-100	-0.1668726	-100	-0.14668883	-100	-0.2354108	-100	-0.23097552	-100	-0.19561921	-100	-0.1651179	-100	-0.15796979	-100	-0.18759109	-100	-0.182099	-100	-0.2275515	-100	-0.3372204	-100	-0.4558507	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.11390737	-100	-0.14382173	-100	-0.3249014	-100	-0.15002455	-100	-0.20126377	-100	-0.13723667	-100	-0.13779953	-100	-0.09715097	-100	-0.11296071	-100	-0.15180053	-100	-0.09790722	-100	-0.23393257	-100	-0.09289138	-100	-0.32636556	-100	-0.19666016	-100	-0.17421913	-100	-0.11195656	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.1393323	-100	-0.14625795	-100	-0.24930342	-100	-0.13590805	-100	-0.23294434	-100	-0.30915856	-100	-0.106629044	-100	-0.22966221	-100	-0.18628319	-100	-0.1332762	-100	-0.15736803	-100	-0.13088843	-100	-0.1366308	-100	-0.11618973	-100	-0.1451243	-100	-0.38935187	-100	-0.122415304	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.12233103	-100	-0.3089711	-100	-0.25889966	-100	-0.31989637	-100	-0.26724845	-100	-0.07655328	-100	-0.2206064	-100	-0.26620564	-100	-0.31844324	-100	-0.18006597	-100	-0.33061254	-100	-0.1455318	-100	-0.35702288	-100	-0.16841634	-100	-0.13745816	-100	-0.7500392	-100	-0.25290245	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.19968095	-100	-0.5537009	-100	-0.7566056	-100	-100	-0.31166273	-100	-0.23544979	-0.66122174	-100	-100	-0.8919995	-0.47300544	-100	-0.29679418	-100	-0.30804843	-100	-0.6135392	-100	-100	-0.564078	-100	-0.5658046	-100	-0.63997924	-0.5416529	-100	-0.41096145	-100	-100	-0.57606626
